enrolled
ДГ №128 Феникс - сграда 2,20
ДГ №132 Светлина,19
ДГ №132 Светлина - филиал с. Подгумер,11
ДГ №127 Слънце (с яслени групи),19
ДГ №123 Шарл Перо (с яслени групи),35
ДГ №121 - филиал с. Доброславци,8
ДГ №121  (с яслени групи),24
ДГ №120 Детство под липите (с яслени групи),43
ДГ №119 Детска планета - сграда 2,20
ДГ №117 Надежда (с яслени групи),20
ДГ №116 Мусала - сграда Гърдова глава,8
ДГ №115 Осми март - сграда ул. 8-ми март 15,47
ДГ №115 Осми март (с яслени групи),8
ДГ №114 Светулка (с яслени групи),20
ДГ №110 Слънчева мечта (с яслени групи),17
ДГ №109 Зорница (с яслени групи),37
ДГ №103 Патиланско царство (с яслени групи),22
ДГ №102 Кременица,15
ДГ №101 Ябълкова градина (с яслени групи),26
ДГ №105 Ракета (с яслени групи),32
ДГ №99 Брезичка,25
ДГ №98 Слънчево зайче (с яслени групи),27
ДГ №97 Изгрев - сграда с. Долни Лозен,20
ДГ №96 Росна китка (с яслени групи),21
ДГ №95 Омайниче (с яслени групи),27
ДГ №94 Детски свят (с яслени групи),15
ДГ №93 Чуден свят (с яслени групи),60
ДГ №92 Мечта - сграда Левски В,17
ДГ №92 Мечта (с яслени групи),13
ДГ №91 Слънчев кът (с яслени групи),30
ДГ №90 Веса Паспалеева - сграда ул. Бял люляк 19,8
ДГ №90 Веса Паспалеева (с яслени групи),20
ДГ №88 Детски рай (с яслени групи),17
ДГ №86 Асен Босев (с яслени групи),31
ДГ №84 Детелина (с яслени групи),39
ДГ №83 Славейче (с яслени групи),9
ДГ №82 Джани Родари (с яслени групи),21
ДГ №80 Приказна калина (с яслени групи),34
ДГ №81 Лилия (с яслени групи),26
ДГ №89 Шарена дъга (с яслени групи),20
ДГ №79 Слънчице (с яслени групи),52
ДГ №78 Детски свят (с яслени групи),21
ДГ №76 Сърничка - сграда 2,70
ДГ №76 Сърничка (с яслени групи),34
ДГ №75 Сърчице (с яслени групи),25
ДГ №74 Дъга (с яслени групи),27
ДГ №73 Маргарита (с яслени групи),33
ДГ №72 Приказка без край (с яслени групи),26
ДГ №71 Щастие (с яслени групи),16
СДЯ №69,77
СДЯ №70 Мечо Пух,50
ДГ №69 Жар птица (с яслени групи),33
ДГ №68 Ран Босилек (с яслени групи),38
ДГ №66 Елица (с яслени групи),27
СДЯ №66,45
ДГ №64 Първи юни (с яслени групи),41
ДГ №65 Слънчево детство (с яслени групи),36
ДГ №63 Слънце (с яслени групи),29
ДГ №61 Шарено петле (с яслени групи),45
ДГ №59 Елхица (с яслени групи),38
СДЯ №58,45
СДЯ №57 Приказка,48
СДЯ №56 Калина,47
ДГ №55 Иглика (с яслени групи),18
СДЯ №63 Беборани,43
СДЯ №55,24
ДГ №54 Дъга (с яслени групи),20
ДГ №53 Дядовата ръкавичка (с яслени групи),22
ДГ №52 Илинденче - сграда ул. Кукуш № 1,38
ДГ №51 Щурче (с яслени групи),40
ДГ №50 Зайчето Куики (с яслени групи),23
ДГ №49 Радост (с яслени групи),29
СДЯ №48,43
ДГ №56 Здравец (с яслени групи),20
ДГ №58 Слънчево утро (с яслени групи),23
ДГ №48 Братя Грим (с яслени групи),46
СДЯ №51,41
ДГ №47 Незабравка (с яслени групи),37
ДГ №46 Жива вода (с яслени групи),19
СДЯ №46 Мики Маус,50
СДЯ №45 Майор Франк Томпсън,46
ДГ №43 Талант (с яслени групи),13
ДГ №44 Калина (с яслени групи),19
СДЯ №44,26
СДЯ №41 Ябълкова градина,78
ДГ №42 Чайка (с яслени групи),31
СДЯ №38,32
ДГ №39 Пролет (с яслени групи),28
СДЯ №36 Слънчево зайче,62
ДГ №38 Дора Габе (с яслени групи),32
ДГ №36 Пеперуда (с яслени групи),45
ДГ №37 Вълшебство (с яслени групи),18
ДГ №35 Щастливо детство (с яслени групи),29
СДЯ №35 Вълшебство,40
ДГ №34 Брезичка (с яслени групи),31
ДГ №33 Сребърни звънчета (с яслени групи),15
ДГ №32 Българче (с яслени групи),30
ДГ №31 Люлин (с яслени групи),28
СДЯ №31,44
ДГ №30 Радецки - сграда 2,22
ДГ №30 Радецки (с яслени групи),9
ДГ №29 Слънце (с яслени групи),38
ДГ №28 Ян Бибиян (с яслени групи),31
СДЯ №28,38
ДГ №27 Детска китка - сграда ул. Иван Кулин,33
ДГ №26 Калина (с яслени групи),30
ДГ №25 Изворче - сграда 2,36
ДГ №24 Надежда (с яслени групи),30
СДЯ №23 Ралица,54
ДГ №23 Здраве (с яслени групи),20
ДГ №22 Великденче (с яслени групи),20
ДГ №21 Ежко Бежко - сграда 2,54
СДЯ №21 Бон-Бон,51
ДГ №20 Жасминов парк,10
ДГ №18 Детски свят (с яслени групи),24
ДГ №16 Приказен свят - сграда 2,41
ДГ №13 Калинка (с яслени групи),51
ДГ №12 Лилия (с яслени групи),25
ДГ №7 Детелина (с яслени групи),18
ДГ №6 Вълшебен свят (с яслени групи),40
ДГ №17 Мечо Пух (с яслени групи),41
ДГ №14 Карлсон (с яслени групи),26
ДГ №15 Чучулига (с яслени групи),16
