address,enrolled2012chron,enrolled2012ord,enrolled2012sop,enrolled2012wg,enrolled2013chron,enrolled2013ord,enrolled2013sop,enrolled2013wg,enrolled2014chron,enrolled2014ord,enrolled2014sop,enrolled2014wg,enrolled2015chron,enrolled2015ord,enrolled2015sop,enrolled2015wg,enrolled2016chron,enrolled2016ord,enrolled2016sop,enrolled2016wg,enrolled2017chron,enrolled2017ord,enrolled2017sop,enrolled2017wg,enrolled2018chron,enrolled2018ord,enrolled2018sop,enrolled2018wg,kg,region,webpage
"гр.София,  ул. ""Иван Пешев"", №1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ПГ в 200 ОУ ""Отец Паисий"" (полудневна организация)",Панчарево,https://kg.sofia.bg/isodz/dz/459;jsessionid=B61DA1F6877670D965AC9BEF814AC209
"гр.София,  жк. Люлин - 10, ул. Димитър Талев № 2",3,25,0,0,1,64,0,0,4,28,0,0,0,56,0,0,3,27,0,0,4,16,0,0,0,0,0,0,ДГ №200 Цветен рай (с яслени групи),Люлин,https://kg.sofia.bg/isodz/dz/238;jsessionid=B61DA1F6877670D965AC9BEF814AC209
"гр.София,  ул. ""Войводово"", № 4",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ДГ №198 Косе Босе - почасова организация,Връбница,https://kg.sofia.bg/isodz/dz/360;jsessionid=B61DA1F6877670D965AC9BEF814AC209
"гр.София,  ул. ""Поручик Георги Кюмюрджиев"", №30",0,8,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ПГ в 199 ОУ ""Св. ап. Йоан Богослов"" (полудневна организация)",Подуяне,https://kg.sofia.bg/isodz/dz/458;jsessionid=B61DA1F6877670D965AC9BEF814AC209
"гр.София,  ул. ""Струга"" № 15а ",10,16,0,2,11,17,0,5,10,18,0,3,8,46,4,0,5,20,0,1,0,0,0,0,0,0,0,0,ДГ №199 Сарагоса (с яслени групи),Сердика,https://kg.sofia.bg/isodz/dz/123;jsessionid=B61DA1F6877670D965AC9BEF814AC209
"гр.София,  ул. ""Войводово"", № 4",0,13,1,0,0,21,3,0,0,33,5,0,2,32,0,0,5,30,0,0,3,14,0,1,0,0,0,0,ДГ №198 Косе Босе (с яслени групи),Връбница,https://kg.sofia.bg/isodz/dz/307;jsessionid=B61DA1F6877670D965AC9BEF814AC209
"гр.София,  кв.Филиповци - център, ул. ""Поручик Хранов"" № 5 ",0,29,0,1,0,20,0,2,0,25,0,1,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ДГ №197 Китна градина,Люлин,https://kg.sofia.bg/isodz/dz/75;jsessionid=B61DA1F6877670D965AC9BEF814AC209
"гр.София,  ул. ""Братин дол"", № 7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ДГ №196 Шарл Перо - почасова организация,Красна поляна,https://kg.sofia.bg/isodz/dz/359;jsessionid=B61DA1F6877670D965AC9BEF814AC209
"гр.София,  ул. ""Братин дол"", № 7",3,26,1,3,2,42,1,2,2,31,0,4,7,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ДГ №196 Шарл Перо,Красна поляна,https://kg.sofia.bg/isodz/dz/162;jsessionid=B61DA1F6877670D965AC9BEF814AC209
"гр.София,  ул. ""Врабча"" , №7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ДГ №195 Братя Мормареви - полудневни групи,Оборище,https://kg.sofia.bg/isodz/dz/286;jsessionid=B61DA1F6877670D965AC9BEF814AC209
"гр.София,  ул. ""Дунав"", №5А",5,22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ДГ №195 Братя Мормареви - сграда ул. Дунав,Оборище,https://kg.sofia.bg/isodz/dz/287;jsessionid=B61DA1F6877670D965AC9BEF814AC209
"гр.София,  ул. ""Врабча"" № 7 ",2,26,1,0,11,21,0,0,8,27,0,0,17,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ДГ №195 Братя Мормареви (с яслени групи),Оборище,https://kg.sofia.bg/isodz/dz/177;jsessionid=B61DA1F6877670D965AC9BEF814AC209
"гр.София,  ул. ""Победа"", №3",0,0,0,0,10,23,0,0,7,23,0,0,0,0,0,0,9,29,0,0,1,11,0,0,0,0,0,0,ДГ №195 Братя Мормареви - сграда ул. Победа 3,Оборище,https://kg.sofia.bg/isodz/dz/300;jsessionid=B61DA1F6877670D965AC9BEF814AC209
"гр.София,  ул. ""Kап. Тодор Hочев"", № 30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ДГ №193 Славейче - почасова организация,Лозенец,https://kg.sofia.bg/isodz/dz/358;jsessionid=B61DA1F6877670D965AC9BEF814AC209
"гр.София,  Овче поле, №123",3,22,0,1,3,49,0,2,2,33,0,3,2,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ДГ №194 Милувка,Възраждане,https://kg.sofia.bg/isodz/dz/191;jsessionid=B61DA1F6877670D965AC9BEF814AC209
"гр.София,  ул. ""Kап. Тодор Hочев"", № 30",3,53,0,0,2,29,1,0,1,58,1,0,3,24,3,0,0,0,0,0,0,0,0,0,0,0,0,0,ДГ №193 Славейче,Лозенец,https://kg.sofia.bg/isodz/dz/132;jsessionid=B61DA1F6877670D965AC9BEF814AC209
"гр.София,  ул. ""Розова долина"", №12а",8,19,2,2,14,44,2,0,16,46,6,0,10,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ДГ №192 Лозичка,Лозенец,https://kg.sofia.bg/isodz/dz/82;jsessionid=B61DA1F6877670D965AC9BEF814AC209
"гр.София,  ул. ""Васил Друмев"", №34",0,0,0,0,0,0,0,0,12,47,0,0,10,50,0,0,5,28,0,0,5,12,0,0,0,0,0,0,ДГ №191 Приказка без край - сграда ул. Васил Друмев,Оборище,https://kg.sofia.bg/isodz/dz/231;jsessionid=B61DA1F6877670D965AC9BEF814AC209
" ж.к. ""Младост 2"", ул. ""Малкият принц"" № 4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ДГ №186 Деница - почасова организация,Младост,https://kg.sofia.bg/isodz/dz/492;jsessionid=B61DA1F6877670D965AC9BEF814AC209
"гр.София,  ул. ""Мадарски конник"" № 7 ",5,45,1,2,18,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ДГ №191 Приказка без край (с яслени групи),Оборище,https://kg.sofia.bg/isodz/dz/176;jsessionid=B61DA1F6877670D965AC9BEF814AC209
"гр.София,  ж.к. ""Младост 2"", ул. ""Малкият принц"" № 4",1,29,1,0,3,27,0,0,3,35,0,0,1,62,0,0,5,34,0,0,5,20,0,0,0,0,0,0,ДГ №186 Деница (с яслени групи),Младост,https://kg.sofia.bg/isodz/dz/28;jsessionid=B61DA1F6877670D965AC9BEF814AC209
"гр.София,  ж.к. ""Младост 1"",  ул. ""Сто усмивки"", №4",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ДГ №189 Сто усмивки - почасова организация,Младост,https://kg.sofia.bg/isodz/dz/475;jsessionid=B61DA1F6877670D965AC9BEF814AC209
"гр.София,  ж.к. ""Младост 1"", ул. ""Сто усмивки"", №4",1,59,1,0,13,59,1,0,9,24,2,0,9,51,0,0,5,20,0,0,0,0,0,0,0,0,0,0,ДГ №189 Сто усмивки (с яслени групи),Младост,https://kg.sofia.bg/isodz/dz/302;jsessionid=B61DA1F6877670D965AC9BEF814AC209
" ж.к. ""Младост 4"", до бл.436  ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ДГ №188 Вяра, Надежда, Любов - почасова организация",Младост,https://kg.sofia.bg/isodz/dz/493;jsessionid=B61DA1F6877670D965AC9BEF814AC209
