born,kg,places,region,tail,webpage
2016,ДГ №157 Детска стряха (с яслени групи),1,Нови Искър,Общи,https://kg.sofia.bg/isodz/dz/33
2017,ДГ №157 Детска стряха (с яслени групи),0,Нови Искър,Соп,https://kg.sofia.bg/isodz/dz/33
2017,ДГ №157 Детска стряха (с яслени групи),3,Нови Искър,Хронични,https://kg.sofia.bg/isodz/dz/33
2017,ДГ №157 Детска стряха (с яслени групи),2,Нови Искър,Социални,https://kg.sofia.bg/isodz/dz/33
2018,ДГ №157 Детска стряха (с яслени групи),0,Нови Искър,Соп,https://kg.sofia.bg/isodz/dz/33
2018,ДГ №157 Детска стряха (с яслени групи),3,Нови Искър,Хронични,https://kg.sofia.bg/isodz/dz/33
2018,ДГ №157 Детска стряха (с яслени групи),7,Нови Искър,Социални,https://kg.sofia.bg/isodz/dz/33
2018,ДГ №157 Детска стряха (с яслени групи),16,Нови Искър,Общи,https://kg.sofia.bg/isodz/dz/33
2017,ДГ №157 Детска стряха (с яслени групи),5,Нови Искър,Общи,https://kg.sofia.bg/isodz/dz/33
2017,ДГ №147 Славейче (с яслени групи),0,Кремиковци,Соп,https://kg.sofia.bg/isodz/dz/189
2017,ДГ №147 Славейче (с яслени групи),3,Кремиковци,Хронични,https://kg.sofia.bg/isodz/dz/189
2016,ДГ №5 Надежда - сграда Обеля 2,2,Връбница,Соп,https://kg.sofia.bg/isodz/dz/270
2016,ДГ №5 Надежда - сграда Обеля 2,3,Връбница,Хронични,https://kg.sofia.bg/isodz/dz/270
2016,ДГ №5 Надежда - сграда Обеля 2,7,Връбница,Социални,https://kg.sofia.bg/isodz/dz/270
2016,ДГ №5 Надежда - сграда Обеля 2,15,Връбница,Общи,https://kg.sofia.bg/isodz/dz/270
2016,ДГ №40 Д-р Г. Ангушев - почасова организация,0,Триадица,Соп,https://kg.sofia.bg/isodz/dz/315
2016,ДГ №40 Д-р Г. Ангушев - почасова организация,0,Триадица,Хронични,https://kg.sofia.bg/isodz/dz/315
2016,ДГ №40 Д-р Г. Ангушев - почасова организация,1,Триадица,Социални,https://kg.sofia.bg/isodz/dz/315
2016,ДГ №40 Д-р Г. Ангушев - почасова организация,1,Триадица,Общи,https://kg.sofia.bg/isodz/dz/315
2017,ДГ №147 Славейче (с яслени групи),4,Кремиковци,Социални,https://kg.sofia.bg/isodz/dz/189
2017,ДГ №147 Славейче (с яслени групи),8,Кремиковци,Общи,https://kg.sofia.bg/isodz/dz/189
2016,ДГ №200 Цветен рай (с яслени групи),0,Люлин,Соп,https://kg.sofia.bg/isodz/dz/238
2016,ДГ №200 Цветен рай (с яслени групи),0,Люлин,Хронични,https://kg.sofia.bg/isodz/dz/238
2016,ДГ №200 Цветен рай (с яслени групи),0,Люлин,Социални,https://kg.sofia.bg/isodz/dz/238
2016,ДГ №200 Цветен рай (с яслени групи),0,Люлин,Общи,https://kg.sofia.bg/isodz/dz/238
2017,ДГ №200 Цветен рай (с яслени групи),0,Люлин,Соп,https://kg.sofia.bg/isodz/dz/238
2017,ДГ №200 Цветен рай (с яслени групи),0,Люлин,Хронични,https://kg.sofia.bg/isodz/dz/238
2017,ДГ №200 Цветен рай (с яслени групи),6,Люлин,Социални,https://kg.sofia.bg/isodz/dz/238
2017,ДГ №200 Цветен рай (с яслени групи),14,Люлин,Общи,https://kg.sofia.bg/isodz/dz/238
2018,ДГ №200 Цветен рай (с яслени групи),0,Люлин,Соп,https://kg.sofia.bg/isodz/dz/238
2018,ДГ №200 Цветен рай (с яслени групи),2,Люлин,Хронични,https://kg.sofia.bg/isodz/dz/238
2018,ДГ №200 Цветен рай (с яслени групи),3,Люлин,Социални,https://kg.sofia.bg/isodz/dz/238
2018,ДГ №200 Цветен рай (с яслени групи),7,Люлин,Общи,https://kg.sofia.bg/isodz/dz/238
2016,ДГ №8 Проф. д-р Елка Петрова (с яслени групи),6,Красно село,Соп,https://kg.sofia.bg/isodz/dz/147
2016,ДГ №8 Проф. д-р Елка Петрова (с яслени групи),0,Красно село,Хронични,https://kg.sofia.bg/isodz/dz/147
2016,ДГ №8 Проф. д-р Елка Петрова (с яслени групи),7,Красно село,Социални,https://kg.sofia.bg/isodz/dz/147
2016,ДГ №8 Проф. д-р Елка Петрова (с яслени групи),17,Красно село,Общи,https://kg.sofia.bg/isodz/dz/147
2017,ДГ №8 Проф. д-р Елка Петрова (с яслени групи),0,Красно село,Соп,https://kg.sofia.bg/isodz/dz/147
2017,ДГ №8 Проф. д-р Елка Петрова (с яслени групи),4,Красно село,Хронични,https://kg.sofia.bg/isodz/dz/147
2017,ДГ №8 Проф. д-р Елка Петрова (с яслени групи),9,Красно село,Социални,https://kg.sofia.bg/isodz/dz/147
2017,ДГ №8 Проф. д-р Елка Петрова (с яслени групи),21,Красно село,Общи,https://kg.sofia.bg/isodz/dz/147
2016,ДГ №195 Братя Мормареви - сграда ул. Дунав,2,Оборище,Соп,https://kg.sofia.bg/isodz/dz/287
2016,ДГ №195 Братя Мормареви - сграда ул. Дунав,0,Оборище,Хронични,https://kg.sofia.bg/isodz/dz/287
2016,ДГ №195 Братя Мормареви - сграда ул. Дунав,2,Оборище,Социални,https://kg.sofia.bg/isodz/dz/287
2016,ДГ №195 Братя Мормареви - сграда ул. Дунав,3,Оборище,Общи,https://kg.sofia.bg/isodz/dz/287
2016,ДГ №195 Братя Мормареви - сграда ул. Победа 3,0,Оборище,Соп,https://kg.sofia.bg/isodz/dz/300
2016,ДГ №195 Братя Мормареви - сграда ул. Победа 3,0,Оборище,Хронични,https://kg.sofia.bg/isodz/dz/300
2016,ДГ №195 Братя Мормареви - сграда ул. Победа 3,0,Оборище,Социални,https://kg.sofia.bg/isodz/dz/300
2016,ДГ №195 Братя Мормареви - сграда ул. Победа 3,0,Оборище,Общи,https://kg.sofia.bg/isodz/dz/300
2016,ДГ №197 Китна градина,2,Люлин,Соп,https://kg.sofia.bg/isodz/dz/75
2016,ДГ №197 Китна градина,3,Люлин,Хронични,https://kg.sofia.bg/isodz/dz/75
2016,ДГ №197 Китна градина,7,Люлин,Социални,https://kg.sofia.bg/isodz/dz/75
2016,ДГ №197 Китна градина,15,Люлин,Общи,https://kg.sofia.bg/isodz/dz/75
2016,ДГ №198 Косе Босе (с яслени групи),0,Връбница,Соп,https://kg.sofia.bg/isodz/dz/307
2016,ДГ №198 Косе Босе (с яслени групи),0,Връбница,Хронични,https://kg.sofia.bg/isodz/dz/307
2016,ДГ №198 Косе Босе (с яслени групи),0,Връбница,Социални,https://kg.sofia.bg/isodz/dz/307
2016,ДГ №198 Косе Босе (с яслени групи),0,Връбница,Общи,https://kg.sofia.bg/isodz/dz/307
2017,ДГ №195 Братя Мормареви - сграда ул. Победа 3,0,Оборище,Соп,https://kg.sofia.bg/isodz/dz/300
2017,ДГ №195 Братя Мормареви - сграда ул. Победа 3,2,Оборище,Хронични,https://kg.sofia.bg/isodz/dz/300
2017,ДГ №195 Братя Мормареви - сграда ул. Победа 3,8,Оборище,Социални,https://kg.sofia.bg/isodz/dz/300
2017,ДГ №195 Братя Мормареви - сграда ул. Победа 3,17,Оборище,Общи,https://kg.sofia.bg/isodz/dz/300
2016,ДГ №189 Сто усмивки - почасова организация,0,Младост,Соп,https://kg.sofia.bg/isodz/dz/475
2016,ДГ №189 Сто усмивки - почасова организация,0,Младост,Хронични,https://kg.sofia.bg/isodz/dz/475
2016,ДГ №189 Сто усмивки - почасова организация,1,Младост,Социални,https://kg.sofia.bg/isodz/dz/475
2016,ДГ №189 Сто усмивки - почасова организация,3,Младост,Общи,https://kg.sofia.bg/isodz/dz/475
2018,ДГ №195 Братя Мормареви - сграда ул. Победа 3,0,Оборище,Соп,https://kg.sofia.bg/isodz/dz/300
2018,ДГ №195 Братя Мормареви - сграда ул. Победа 3,3,Оборище,Хронични,https://kg.sofia.bg/isodz/dz/300
2018,ДГ №195 Братя Мормареви - сграда ул. Победа 3,3,Оборище,Социални,https://kg.sofia.bg/isodz/dz/300
2018,ДГ №195 Братя Мормареви - сграда ул. Победа 3,7,Оборище,Общи,https://kg.sofia.bg/isodz/dz/300
2018,ДГ №191 Приказка без край - сграда ул. Васил Друмев,0,Оборище,Соп,https://kg.sofia.bg/isodz/dz/231
2018,ДГ №191 Приказка без край - сграда ул. Васил Друмев,1,Оборище,Хронични,https://kg.sofia.bg/isodz/dz/231
2018,ДГ №191 Приказка без край - сграда ул. Васил Друмев,4,Оборище,Социални,https://kg.sofia.bg/isodz/dz/231
2018,ДГ №191 Приказка без край - сграда ул. Васил Друмев,10,Оборище,Общи,https://kg.sofia.bg/isodz/dz/231
2016,ДГ №196 Шарл Перо,2,Красна поляна,Соп,https://kg.sofia.bg/isodz/dz/162
2016,ДГ №196 Шарл Перо,3,Красна поляна,Хронични,https://kg.sofia.bg/isodz/dz/162
2016,ДГ №196 Шарл Перо,6,Красна поляна,Социални,https://kg.sofia.bg/isodz/dz/162
2016,ДГ №196 Шарл Перо,14,Красна поляна,Общи,https://kg.sofia.bg/isodz/dz/162
2017,ДГ №191 Приказка без край - сграда ул. Васил Друмев,0,Оборище,Соп,https://kg.sofia.bg/isodz/dz/231
2017,ДГ №191 Приказка без край - сграда ул. Васил Друмев,0,Оборище,Хронични,https://kg.sofia.bg/isodz/dz/231
2017,ДГ №191 Приказка без край - сграда ул. Васил Друмев,6,Оборище,Социални,https://kg.sofia.bg/isodz/dz/231
2017,ДГ №191 Приказка без край - сграда ул. Васил Друмев,14,Оборище,Общи,https://kg.sofia.bg/isodz/dz/231
2016,ДГ №192 Лозичка,2,Лозенец,Соп,https://kg.sofia.bg/isodz/dz/82
2016,ДГ №192 Лозичка,2,Лозенец,Хронични,https://kg.sofia.bg/isodz/dz/82
2016,ДГ №192 Лозичка,6,Лозенец,Социални,https://kg.sofia.bg/isodz/dz/82
2016,ДГ №192 Лозичка,14,Лозенец,Общи,https://kg.sofia.bg/isodz/dz/82
2016,ДГ №194 Милувка,2,Възраждане,Соп,https://kg.sofia.bg/isodz/dz/191
2016,ДГ №194 Милувка,3,Възраждане,Хронични,https://kg.sofia.bg/isodz/dz/191
2016,ДГ №194 Милувка,7,Възраждане,Социални,https://kg.sofia.bg/isodz/dz/191
2016,ДГ №191 Приказка без край - сграда ул. Васил Друмев,4,Оборище,Соп,https://kg.sofia.bg/isodz/dz/231
2016,ДГ №191 Приказка без край - сграда ул. Васил Друмев,1,Оборище,Хронични,https://kg.sofia.bg/isodz/dz/231
2016,ДГ №191 Приказка без край - сграда ул. Васил Друмев,5,Оборище,Социални,https://kg.sofia.bg/isodz/dz/231
2016,ДГ №191 Приказка без край - сграда ул. Васил Друмев,11,Оборище,Общи,https://kg.sofia.bg/isodz/dz/231
2016,ДГ №195 Братя Мормареви (с яслени групи),2,Оборище,Соп,https://kg.sofia.bg/isodz/dz/177
2016,ДГ №195 Братя Мормареви (с яслени групи),0,Оборище,Хронични,https://kg.sofia.bg/isodz/dz/177
2016,ДГ №195 Братя Мормареви (с яслени групи),2,Оборище,Социални,https://kg.sofia.bg/isodz/dz/177
2016,ДГ №195 Братя Мормареви (с яслени групи),6,Оборище,Общи,https://kg.sofia.bg/isodz/dz/177
2017,ДГ №198 Косе Босе (с яслени групи),0,Връбница,Соп,https://kg.sofia.bg/isodz/dz/307
2017,ДГ №198 Косе Босе (с яслени групи),0,Връбница,Хронични,https://kg.sofia.bg/isodz/dz/307
2017,ДГ №198 Косе Босе (с яслени групи),2,Връбница,Социални,https://kg.sofia.bg/isodz/dz/307
